,ID,バス会社名称,路線ID,停車順番,バス停名称,路線名称,緯度,経度,市区町村名
406,406.0,都営バス,19.0,6.0,2号バース前,井98[都営バス],35.608385,139.758458,品川区
603,601.0,都営バス,30.0,9.0,2号バース前,品98[都営バス],35.608385,139.758458,品川区
407,407.0,都営バス,19.0,7.0,3号バース前,井98[都営バス],35.605642,139.759422,品川区
604,602.0,都営バス,30.0,10.0,3号バース前,品98[都営バス],35.605642,139.759422,品川区
605,603.0,都営バス,30.0,11.0,4号バース前,品98[都営バス],35.603909,139.761052,品川区
408,408.0,都営バス,19.0,8.0,4号バース前,井98[都営バス],35.603909,139.761052,品川区
409,409.0,都営バス,19.0,9.0,5号バース前,井98[都営バス],35.600723,139.762069,品川区
606,604.0,都営バス,30.0,12.0,5号バース前,品98[都営バス],35.600723,139.762069,品川区
410,410.0,都営バス,19.0,10.0,6号バース前,井98[都営バス],35.597349,139.76383,品川区
607,605.0,都営バス,30.0,13.0,6号バース前,品98[都営バス],35.597349,139.76383,品川区
1479,1907.0,都営バス,94.0,8.0,EXシアター六本木前,渋88[都営バス],35.661256,139.727607,港区
3101,3523.0,都営バス,177.0,6.0,EXシアター六本木前,深夜01[都営バス],35.661256,139.727607,港区
3093,3515.0,都営バス,176.0,6.0,EXシアター六本木前,RH01[都営バス],35.660728,139.727207,港区
2296,2725.0,都営バス,136.0,9.0,EXシアター六本木前,都01[都営バス],35.661256,139.727607,港区
11002,27067.0,国際興業（株）,1711.0,4.0,HPSC北門,赤97:赤羽車庫-池袋駅[国際興業バス],35.769719,139.706979,北区
10706,26748.0,国際興業（株）,1696.0,6.0,HPSC北門,赤57:赤羽駅-日大病院[国際興業バス],35.769719,139.706979,北区
10243,26027.0,国際興業（株）,1656.0,9.0,HPSC北門,赤50他:赤羽駅西口行〔西が丘経由〕[国際興業バス],35.769841,139.707102,北区
10980,27045.0,国際興業（株）,1710.0,6.0,HPSC北門,赤51/57:赤羽駅-日大病院・池袋駅[国際興業バス],35.769719,139.706979,北区
11105,27168.0,国際興業（株）,1716.0,7.0,HPSC南,赤50:王子駅-十条駅-赤羽駅[国際興業バス],35.767626,139.709467,北区
11047,27110.0,国際興業（株）,1713.0,2.0,HPSC南,赤27-2:赤羽車庫-環七-西新井駅[国際興業バス],35.766674,139.710082,北区
11195,27257.0,国際興業（株）,1722.0,7.0,HPSC南,赤80/王23:赤羽車庫-赤羽駅西口・王子駅[国際興業バス],35.767626,139.709467,北区
11088,27151.0,国際興業（株）,1715.0,7.0,HPSC南,赤50/王23-2:赤羽駅-十条駅-王子駅[国際興業バス],35.766674,139.710082,北区
11203,27265.0,国際興業（株）,1723.0,7.0,HPSC南,赤80-2:赤羽駅-トンネル-赤羽車庫[国際興業バス],35.767874,139.709602,北区
11080,27143.0,国際興業（株）,1714.0,13.0,HPSC南,赤95他:赤羽車庫-赤羽駅東口[国際興業バス],35.766185,139.71005,北区
11000,27065.0,国際興業（株）,1711.0,2.0,HPSC南,赤97:赤羽車庫-池袋駅[国際興業バス],35.767626,139.709467,北区
11137,27200.0,国際興業（株）,1718.0,2.0,HPSC南,赤93/96:赤羽車庫-ときわ台駅・桐ヶ丘[国際興業バス],35.767626,139.709467,北区
11104,27167.0,国際興業（株）,1716.0,6.0,HPSC陸上門,赤50:王子駅-十条駅-赤羽駅[国際興業バス],35.770544,139.709588,北区
11087,27150.0,国際興業（株）,1715.0,6.0,HPSC陸上門,赤50/王23-2:赤羽駅-十条駅-王子駅[国際興業バス],35.769702,139.708985,北区
11001,27066.0,国際興業（株）,1711.0,3.0,HPSC陸上門,赤97:赤羽車庫-池袋駅[国際興業バス],35.770544,139.709588,北区
10240,26024.0,国際興業（株）,1656.0,6.0,HPSC陸上門,赤50他:赤羽駅西口行〔西が丘経由〕[国際興業バス],35.770544,139.709588,北区
11138,27201.0,国際興業（株）,1718.0,3.0,HPSC陸上門,赤93/96:赤羽車庫-ときわ台駅・桐ヶ丘[国際興業バス],35.769702,139.708985,北区
11202,27264.0,国際興業（株）,1723.0,6.0,HPSC陸上門,赤80-2:赤羽駅-トンネル-赤羽車庫[国際興業バス],35.769702,139.708985,北区
11194,27256.0,国際興業（株）,1722.0,6.0,HPSC陸上門,赤80/王23:赤羽車庫-赤羽駅西口・王子駅[国際興業バス],35.770544,139.709588,北区
2104,2535.0,都営バス,122.0,3.0,Hareza池袋,草64(池袋駅東口-浅草雷門)[都営バス],35.732676,139.715072,豊島区
2063,2494.0,都営バス,121.0,3.0,Hareza池袋,草63[都営バス],35.732676,139.715072,豊島区
128,128.0,都営バス,6.0,2.0,Hareza池袋,上60[都営バス],35.732676,139.715072,豊島区
3113,3535.0,都営バス,178.0,3.0,Hareza池袋,深夜02[都営バス],35.732676,139.715072,豊島区
1632,2056.0,都営バス,103.0,3.0,Hareza池袋,王55[都営バス],35.732676,139.715072,豊島区
10680,26722.0,国際興業（株）,1695.0,5.0,Hareza池袋,池07:サンシャイン南-池袋駅-江古田二又[国際興業バス],35.732477,139.71521,豊島区
1493,1921.0,都営バス,95.0,3.0,Hareza池袋,王40(池袋駅東口-西新井駅前)[都営バス],35.732676,139.715072,豊島区
12589,32687.0,豊島区,2107.0,10.0,Hareza池袋〔IKEBUS〕,Bルート[IKEBUS],35.732272,139.715749,豊島区
10679,26721.0,国際興業（株）,1695.0,4.0,Hareza池袋東,池07:サンシャイン南-池袋駅-江古田二又[国際興業バス],35.732085,139.71657,豊島区
3551,3969.0,都営バス,209.0,15.0,IHI前,深夜14[都営バス],35.658654,139.792772,江東区
2621,3051.0,都営バス,154.0,8.0,IHI前,錦13(晴海埠頭-錦糸町駅前)[都営バス],35.658654,139.792772,江東区
2654,3084.0,都営バス,155.0,8.0,IHI前,錦13(晴海埠頭-深川車庫前)[都営バス],35.658654,139.792772,江東区
1068,1081.0,都営バス,61.0,17.0,IHI前,東16(東京駅八重洲口-東京ビッグサイト)[都営バス],35.658654,139.792772,江東区
2277,2706.0,都営バス,134.0,3.0,IHI前,豊洲01(キャナルコート方面)[都営バス],35.658654,139.792772,江東区
2440,2869.0,都営バス,145.0,11.0,IHI前,都05-1出入[都営バス],35.657632,139.793149,江東区
1032,1045.0,都営バス,60.0,17.0,IHI前,東15[都営バス],35.657632,139.793149,江東区
1229,1639.0,都営バス,82.0,15.0,IHI前,業10(新橋-とうきょうスカイツリー駅前)[都営バス],35.658654,139.792772,江東区
2885,3311.0,都営バス,164.0,19.0,IHI前,門19[都営バス],35.657632,139.793149,江東区
12573,32673.0,豊島区,2106.0,4.0,IKE・SUNPARK,Aルート[IKEBUS],35.727493,139.722052,豊島区
12586,32684.0,豊島区,2107.0,7.0,IKE・SUNPARK,Bルート[IKEBUS],35.727493,139.722052,豊島区
5871,10143.0,西武バス（株）,641.0,22.0,JA東京あおば,荻15他[西武バス],35.734937,139.599939,練馬区
5866,10108.0,西武バス（株）,640.0,4.0,JA東京あおば,荻13/荻14[西武バス],35.735016,139.600022,練馬区
5836,9992.0,練馬区,633.0,9.0,JA東京あおば,関町ルート(順天堂-上石神井)[みどりバス],35.735016,139.600022,練馬区
9799,25570.0,京成バス（株）,1616.0,13.0,JMTダイナベース,森28:平和島循環[京急バス],35.586914,139.747104,大田区
9798,25569.0,京成バス（株）,1616.0,12.0,JMT京浜トラックターミナル,森28:平和島循環[京急バス],35.586861,139.744057,大田区
12384,31685.0,台東区,2049.0,4.0,JR上野駅公園口,東西めぐりん〔区役所-三崎坂上-千駄木駅〕[めぐりん(台東区)],35.714945,139.776635,台東区
12031,31346.0,中央区,2030.0,10.0,JR新日本橋駅[中外製薬前],北循環〔中央区役所→浜町駅〕[江戸バス(中央区)],35.688231,139.773284,中央区
11821,31141.0,日の丸自動車興業,2017.0,6.0,JR新日本橋駅[中外製薬前],メトロリンク日本橋[日の丸自動車],35.687858,139.773422,中央区
12269,31578.0,北区,2043.0,1.0,JR王子駅〔Kバス〕,王子・駒込ルート[Kバス(北区)],35.754527,139.736794,北区
12289,31597.0,北区,2044.0,6.0,JR田端駅〔Kバス〕,田端循環ルート[Kバス(北区)],35.738261,139.759644,北区
12282,31591.0,北区,2043.0,14.0,JR駒込駅〔Kバス〕,王子・駒込ルート[Kバス(北区)],35.736015,139.747501,豊島区
12283,31592.0,北区,2044.0,1.0,JR駒込駅〔Kバス〕,田端循環ルート[Kバス(北区)],35.736015,139.747501,豊島区
12284,31592.0,北区,2044.0,1.0,JR駒込駅〔Kバス〕,田端循環ルート[Kバス(北区)],35.736015,139.747501,豊島区
12297,31605.0,北区,2044.0,14.0,JR駒込駅〔Kバス〕,田端循環ルート[Kバス(北区)],35.736015,139.747501,豊島区
12298,31605.0,北区,2044.0,14.0,JR駒込駅〔Kバス〕,田端循環ルート[Kバス(北区)],35.736015,139.747501,豊島区
3735,4158.0,渋谷区,228.0,7.0,JT前,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],35.655381,139.697808,渋谷区
3767,4190.0,渋谷区,229.0,13.0,JT前,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],35.655381,139.697808,渋谷区
7619,19450.0,小田急バス（株）,1192.0,28.0,NHK技研前,渋26[小田急バス],35.635202,139.615835,世田谷区
4411,4856.0,東急バス（株）,268.0,27.0,NHK技術研究所,渋24他[東急バス/小田急バス],35.635251,139.616795,世田谷区
4948,5397.0,東急バス（株）,304.0,16.0,NHK技術研究所,都立01【臨時】[東急バス],35.634432,139.615872,世田谷区
4078,4524.0,東急バス（株）,249.0,12.0,NHK技術研究所,用06[東急バス],35.635251,139.616795,世田谷区
4111,4557.0,東急バス（株）,250.0,25.0,NHK技術研究所,等12[東急バス],35.635251,139.616795,世田谷区
4722,5173.0,東急バス（株）,289.0,19.0,NHK技術研究所,玉31/玉32他[東急バス],35.634432,139.615872,世田谷区
9663,25436.0,京成バス（株）,1606.0,2.0,NTT大森,井19:レジャーランド-大井町駅(大森-大井町)[京急バス],35.587416,139.732011,大田区
9729,25500.0,京成バス（株）,1611.0,2.0,NTT大森,森22:大森-八潮[京急バス],35.587416,139.732011,大田区
9702,25475.0,京成バス（株）,1610.0,2.0,NTT大森,森21他:大森-羽田空港[京急バス],35.587416,139.732011,大田区
9880,25645.0,京成バス（株）,1624.0,2.0,NTT大森,森36:京浜島・昭和島循環[京急バス],35.587416,139.732011,大田区
9829,25600.0,京成バス（株）,1620.0,2.0,NTT大森,森31:大森駅-流通センター南口-循環[京急バス],35.587416,139.732011,大田区
9961,25726.0,京成バス（株）,1630.0,2.0,NTT大森,森50:大森-東邦大-蒲田[京急バス],35.586576,139.732006,大田区
9788,25559.0,京成バス（株）,1616.0,2.0,NTT大森,森28:平和島循環[京急バス],35.587416,139.732011,大田区
9826,25597.0,京成バス（株）,1619.0,7.0,NTT大森,森31:大森駅-流通センター前-循環[京急バス],35.587187,139.731495,大田区
9923,25688.0,京成バス（株）,1628.0,2.0,NTT大森,森43他:大森駅-大田市場[京急バス],35.587416,139.732011,大田区
9747,25518.0,京成バス（株）,1613.0,3.0,NTT大森,森24:京浜島循環[京急バス],35.587416,139.732011,大田区
9839,25610.0,京成バス（株）,1621.0,2.0,NTT大森,森32:城南島循環[京急バス],35.587416,139.732011,大田区
9660,25433.0,京成バス（株）,1605.0,5.0,NTT大森,井19:レジャーランド-大井町駅(大森-レジャー)[京急バス],35.587187,139.731495,大田区
9762,25533.0,京成バス（株）,1614.0,2.0,NTT大森,森26:大森駅-大森海岸駅-森ヶ崎[京急バス],35.587416,139.732011,大田区
9873,25638.0,京成バス（株）,1623.0,2.0,NTT大森,森34:大森駅-大田スタジアム[京急バス],35.587416,139.732011,大田区
9974,25739.0,京成バス（株）,1631.0,2.0,NTT大森,森56:大森駅-沢田通-森ヶ崎[京急バス],35.586576,139.732006,大田区
9939,25704.0,京成バス（株）,1629.0,2.0,NTT大森,森45他:京浜島・昭和島循環〔レジャーランド経由〕[京急バス],35.587416,139.732011,大田区
12754,939.0,都営バス,55.0,25.0,NTT江戸川支店前,新小29[都営バス],35.710472,139.873969,江戸川区
926,939.0,都営バス,55.0,25.0,NTT江戸川支店前,新小29[都営バス],35.710472,139.873969,江戸川区
11801,31102.0,高速バス,2012.0,2.0,VIPラウンジ東京駅八重洲北口,名古屋便チェリッシュ<女性専用>[VIPライナー(高速バス)],35.681773,139.771306,中央区
11791,31081.0,高速バス,2009.0,3.0,VIPラウンジ東京駅八重洲北口,VIPライナー名古屋1便〔横浜経由〕[VIPライナー(高速バス)],35.681773,139.771306,中央区
